,title,description,originallink,link,pubData
0,"&apos;토트넘 VS 울버햄튼&apos; 손흥민-<b>황희찬</b>, 22-23 시즌 첫 골 신고 누가 먼저?",토트넘 공식 SNS 22-23 프리미어리그(PL) 3라운드에서 손흥민의 토트넘과 <b>황희찬</b>의 울버햄튼이 맞붙는다. 지난 시즌 리그와 리그컵에서 각각 한차례씩 만났던 손흥민과 <b>황희찬</b>이 처음으로 선발 맞대결을 치르게 될지... ,https://www.gukjenews.com/news/articleView.html?idxno=2531299,https://www.gukjenews.com/news/articleView.html?idxno=2531299,"Thu, 18 Aug 2022 10:20:00 +0900"
1,첫 골은 내가 먼저!…손흥민 vs <b>황희찬</b> &apos;주말 코리안 더비&apos;,"20일 저녁 토트넘-울버햄프턴 EPL 맞대결 &apos;시즌 마수걸이 득점은 내가 먼저!&apos; 손흥민(30·토트넘)과 <b>황희찬</b>(26... EPL 무대를 누비는 두 한국인 공격수, 토트넘 손흥민과 울버햄프턴 <b>황희찬</b>이 맞대결을 펼칠 전망이어서 한국... ",https://www.yna.co.kr/view/AKR20220818052300007?input=1195m,https://sports.news.naver.com/news.nhn?oid=001&aid=0013382354,"Thu, 18 Aug 2022 10:20:00 +0900"
2,"&apos;나 혼자 산다&apos; <b>황희찬</b>, 울버햄프턴 단독 3층 주택 희찬 하우스 공개"," 오는 19일 방송되는 MBC &apos;나 혼자 산다&apos;는 &apos;카타르 월드컵 D-100 특집&apos;으로 마련, 프리미어리그에서 활약하고 있는 축구선수 <b>황희찬</b>의 싱글 라이프를 담는다. <b>황희찬</b>은 대한민국 축구 국가대표이자, 대한민국의 14호... ",http://www.stardailynews.co.kr/news/articleView.html?idxno=328328,http://www.stardailynews.co.kr/news/articleView.html?idxno=328328,"Thu, 18 Aug 2022 09:52:00 +0900"
3,"<b>황희찬</b> 소속팀 울버햄프턴, 포르투갈 MF 누니스로 중원 보강",5년 계약에 구단 이적료 기록 경신…이르면 20일 토트넘전 출격 한국 국가대표팀 공격수 <b>황희찬</b>(26)의 소속팀 울버햄프턴 원더러스가 포르투갈 미드필더 마테우스 누니스(24)를 영입했다. 울버햄프턴은 18일(한국시간)... ,https://www.yna.co.kr/view/AKR20220818042000007?input=1195m,https://sports.news.naver.com/news.nhn?oid=001&aid=0013382197,"Thu, 18 Aug 2022 09:46:00 +0900"
4,"<b>황희찬</b>, 영국 3층 단독 주택 공개…전현무와 평행이론? (&apos;나혼산&apos;)","프리미어리그 울버햄튼 원더러스 FC <b>황희찬</b>이 영국 라이프를 공개한다. 19일 방송되는 MBC ‘나 혼자 산다’는 ‘카타르 월드컵 D-100 특집’으로 마련, 프리미어리그에서 활약하고 있는 축구선수 <b>황희찬</b>의 싱글 라이프를... ",https://tenasia.hankyung.com/tv/article/2022081810114,https://n.news.naver.com/mnews/article/312/0000564520?sid=106,"Thu, 18 Aug 2022 09:38:00 +0900"
5,"<b>황희찬</b>, 3층 초호화 단독주택 공개…으리으리한 英라이프",국가대표 축구선수 <b>황희찬</b>(울버햄튼 원더러스 FC)의 영국 라이프 모습이 공개된다. 오는 19일 방송되는 MBC 예능 &apos;나 혼자 산다&apos;에는 잉글랜드 프리미어리그(EPL)에서 뛰고 있는 <b>황희찬</b>이 출연한다. FIFA(국제축구연맹)... ,http://news.mt.co.kr/mtview.php?no=2022081808270799215,https://n.news.naver.com/mnews/article/008/0004784339?sid=106,"Thu, 18 Aug 2022 09:33:00 +0900"
6,"축구선수 <b>황희찬</b>, 영국 집 내부 공개…나이→연봉?",축구 선수 <b>황희찬</b>이 &apos;나 혼자 산다&apos;를 통해 일상과 집 내부 등을 공개한다. 이와 함께 그의 연봉 등에도 이목이 쏠리고 있다. 19일 오후 방송되는 MBC &apos;나 혼자 산다(나혼산)&apos;에 출연하는 <b>황희찬</b>은 영국 생활을 공개한다. 이날... ,http://www.topstarnews.net/news/articleView.html?idxno=14722349,http://www.topstarnews.net/news/articleView.html?idxno=14722349,"Thu, 18 Aug 2022 09:12:00 +0900"
7,"[오피셜] &apos;<b>황희찬</b>의 클럽 동료이자 WC 상대&apos; 누네스, 울버햄튼 이적",<b>황희찬</b>의 울버햄튼 동료이자 카타르 월드컵 상대다. 마테우스 누네스가 울버햄튼 이적을 완료했다.... 이번 시즌 최전방에 주로 기용될 것이 예상되는 <b>황희찬</b>과의 호흡도 기대해볼 수 있다. 울버햄튼의 부족한 중원... ,http://www.fourfourtwo.co.kr/news/articleView.html?idxno=18135,https://sports.news.naver.com/news.nhn?oid=411&aid=0000013882,"Thu, 18 Aug 2022 08:54:00 +0900"
8,"‘나혼자산다’ <b>황희찬</b>, 英 울버햄튼 단독주택 라이프 [T-데이]","프리미어리그 울버햄튼 원더러스 FC <b>황희찬</b>이 ‘나 혼자 산다’ 뉴 무지개 회원으로 등장, 단독 3층 주택... 축구선수 <b>황희찬</b>의 싱글 라이프를 담는다. <b>황희찬</b>은 대한민국 축구 국가대표이자, 대한민국의 14호... ",http://www.tvdaily.co.kr/read.php3?aid=16607792251650084019,http://www.tvdaily.co.kr/read.php3?aid=16607792251650084019,"Thu, 18 Aug 2022 08:54:00 +0900"
9,‘나혼산’ <b>황희찬</b> 출연 소식에 들썩…“프리미어리거 편은 못 참지”,"프리미어리그 울버햄튼 원더러스 FC <b>황희찬</b>이 ‘나 혼자 산다’ 새 무지개 회원으로 등장, 단독 3층 주택... 축구선수 <b>황희찬</b>의 싱글 라이프를 담는다. <b>황희찬</b>은 대한민국 축구 국가대표이자, 대한민국의 14호... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202208180851003&sec_id=540201&pt=nv,https://n.news.naver.com/mnews/article/144/0000831611?sid=106,"Thu, 18 Aug 2022 08:52:00 +0900"
